Count,WeightedCount,Goals,WeightedGoals,GoalProbability,WeightedProbabiliticGoals,y,x,event
17,0.399603504005371,1,0.000399984119151932,0.00100095248200465,0.000399984119151932,60,102,Shot
15,0.249763112238752,0,0,0,0,62,102,Shot
7,0.10222779047621,0,0,0,0,64,102,Shot
4,0.113174943998811,0,0,0,0,66,102,Shot
2,0.189914841750392,0,0,0,0,68,102,Shot
1,0.129472637479261,0,0,0,0,70,102,Shot
1,0.0325725387978629,0,0,0,0,72,102,Shot
1,0.00301460727672026,0,0,0,0,74,102,Shot
1,0.000102639704796727,0,0,0,0,76,102,Shot
2,0.00110599534996393,1,0.0000787615429572804,0.071213267722915,0.0000787615429572804,14,104,Shot
5,0.0197607020584546,1,0.00189395941287406,0.0958447431306588,0.00189395941287406,16,104,Shot
10,0.131402254880262,1,0.0167545450078711,0.127505764822213,0.0167545450078711,18,104,Shot
17,0.388497502824438,2,0.0549188009154682,0.141362043555492,0.0549188009154682,20,104,Shot
29,0.710388358181156,3,0.0692430361598677,0.0974720874327871,0.0692430361598677,22,104,Shot
35,1.12568940433476,3,0.0537508698048853,0.0477492899887868,0.0537508698048853,24,104,Shot
40,1.49869667286762,4,0.100245582817127,0.0668885069487182,0.100245582817127,26,104,Shot
52,1.54069319746824,7,0.159790153332941,0.103713155607825,0.159790153332941,28,104,Shot
55,1.33230186021295,7,0.119639138897996,0.0897988229776043,0.119639138897996,30,104,Shot
60,1.16884650096994,7,0.135838781311246,0.116216099546453,0.135838781311246,32,104,Shot
64,1.17218922305647,10,0.277852864094197,0.237037552153652,0.277852864094197,34,104,Shot
68,1.30611293966201,8,0.290683309892938,0.222556029471816,0.290683309892938,36,104,Shot
88,1.46654399966987,10,0.184631045776474,0.125895333394726,0.184631045776474,38,104,Shot
86,1.96235117710936,10,0.144543120938547,0.0736581314418279,0.144543120938547,40,104,Shot
90,2.36170897360263,8,0.111506181086298,0.0472141920671127,0.111506181086298,42,104,Shot
88,2.23297451026961,7,0.0921299180862162,0.0412588310625598,0.0921299180862162,44,104,Shot
72,1.83885385690907,6,0.0659398819707872,0.0358592292275068,0.0659398819707872,46,104,Shot
66,1.56061407304972,5,0.0997919441604528,0.063944024268243,0.0997919441604528,48,104,Shot
57,1.51740567742476,5,0.255310782916277,0.168254796139667,0.255310782916277,50,104,Shot
50,1.35257444684589,4,0.294504825330068,0.217736499470941,0.294504825330068,52,104,Shot
38,1.14917411264881,4,0.142147658778607,0.123695493323428,0.142147658778607,54,104,Shot
32,1.02468537259585,4,0.0440047967500197,0.0429446910504263,0.0440047967500197,56,104,Shot
25,0.871447190014897,4,0.0189176167733294,0.0217082767493989,0.0189176167733294,58,104,Shot
15,0.607329015670402,1,0.0054940712990918,0.00904628489226249,0.0054940712990918,60,104,Shot
14,0.272093017236772,1,0.000646404096245109,0.00237567322678706,0.000646404096245109,62,104,Shot
7,0.0814694967908042,0,0,0,0,64,104,Shot
5,0.0906320211603706,0,0,0,0,66,104,Shot
2,0.15527154404472,0,0,0,0,68,104,Shot
1,0.106003229986388,0,0,0,0,70,104,Shot
1,0.026668139219636,0,0,0,0,72,104,Shot
1,0.00246815168590354,0,0,0,0,74,104,Shot
1,0.0000840342828039255,0,0,0,0,76,104,Shot
3,0.00115995252555797,1,0.000205701243982893,0.177335916298768,0.000205701243982893,14,106,Shot
5,0.0225084777355421,1,0.00494644711940971,0.21975929147794,0.00494644711940971,16,106,Shot
10,0.169659951822985,2,0.043961033691346,0.259112614491443,0.043961033691346,18,106,Shot
20,0.542338011435126,2,0.145814064601953,0.268861967126557,0.145814064601953,20,106,Shot
29,0.92106014094341,3,0.191996883944467,0.208452060196429,0.191996883944467,22,106,Shot
36,1.33402877617425,3,0.12874173156742,0.0965059628898169,0.12874173156742,24,106,Shot
43,1.86702536838336,5,0.0806890447157252,0.0432179691192911,0.0806890447157252,26,106,Shot
53,2.0441274679264,7,0.0723547420806607,0.0353963944107941,0.0723547420806607,28,106,Shot
56,1.91632560977867,8,0.10178610849656,0.0531152472091189,0.10178610849656,30,106,Shot
64,1.83016919709845,9,0.258328491714984,0.141150059854869,0.258328491714984,32,106,Shot
78,1.946722874556,10,0.524460102246852,0.269406657260587,0.524460102246852,34,106,Shot
83,2.17816326643801,11,0.577586295856669,0.265171259086196,0.577586295856669,36,106,Shot
94,2.40897759751754,12,0.43706886876813,0.181433347167085,0.43706886876813,38,106,Shot
105,2.79504454551607,13,0.358924203230858,0.128414484057744,0.358924203230858,40,106,Shot
101,3.12851330762161,12,0.280716228153662,0.0897283151936057,0.280716228153662,42,106,Shot
104,3.19751109669804,11,0.244996543774401,0.0766210143969166,0.244996543774401,44,106,Shot
91,2.84097073378146,10,0.15839676114603,0.0557544501471146,0.15839676114603,46,106,Shot
77,2.19749133685331,6,0.149013947745609,0.0678109375206863,0.149013947745609,48,106,Shot
66,1.79885571155948,6,0.380109636385656,0.211306351000285,0.380109636385656,50,106,Shot
52,1.52869741701228,5,0.503197838312715,0.32916771671936,0.503197838312715,52,106,Shot
41,1.20471291995307,4,0.300981873994015,0.249837010136605,0.300981873994015,54,106,Shot
29,1.1004854376677,4,0.152658584731523,0.138719313773982,0.152658584731523,56,106,Shot
