x,y,WeightedProbabiliticGoals,GoalProbability
10,48,0.00986464868952821,0.001
10,50,0.00743732514104017,0.001
10,52,0.00464967776936671,0.001
10,54,0.00433663982826347,0.001
10,56,0.00744477083119735,0.002
10,58,0.012018197500907,0.003
10,60,0.0143998907279141,0.003
10,62,0.0133677223796465,0.003
10,64,0.0124302372547081,0.002
10,66,0.0164935701308945,0.002
10,68,0.0270597589388445,0.003
10,70,0.0402667464622471,0.005
10,72,0.0483105024035584,0.007
10,74,0.045004832345258,0.007
10,76,0.031700468674974,0.005
10,78,0.016499673214442,0.003
10,80,0.00622141427030472,0.001
12,0,0.000550790508076239,0
12,2,0.000944062511309466,0
12,4,0.00119107977008924,0
12,6,0.00109197333264706,0
12,8,0.000749955738774553,0
12,10,0.000451974327278809,0
12,12,0.000415671024515935,0
12,14,0.000575416526723415,0
12,16,0.000696337783752127,0
12,18,0.000609204893283299,0
12,20,0.00038245450413943,0
12,22,0.000236685620911492,0
12,24,0.00058455596758257,0
12,26,0.0024905444644586,0
12,28,0.00900297443959172,0.001
12,30,0.0246270152949421,0.001
12,32,0.0494330892533312,0.002
12,34,0.0715799364151759,0.002
12,36,0.0740974543330267,0.002
12,38,0.0548768893330822,0.002
12,40,0.0299046267004871,0.001
12,42,0.0140930615499621,0
12,44,0.00945797887802913,0
12,46,0.0101119763910326,0.001
12,48,0.0101914918504003,0.001
12,50,0.00797753797503908,0.001
12,52,0.00620705642490175,0.001
12,54,0.00903059931482567,0.002
12,56,0.0183130107869716,0.003
12,58,0.0300432701491761,0.005
12,60,0.0356301993986566,0.006
12,62,0.0315006503510404,0.005
12,64,0.0246499658028518,0.004
12,66,0.0240859431528516,0.003
12,68,0.0311867836015565,0.004
12,70,0.0397731314163941,0.005
12,72,0.0421609175829059,0.005
12,74,0.0353155554652356,0.005
12,76,0.0228623934090387,0.003
12,78,0.0111928962158015,0.002
12,80,0.00404998865021819,0.001
14,0,0.000456645407743916,0
14,2,0.000879274282952753,0
14,4,0.00120683502917541,0
14,6,0.00119821137710494,0
14,8,0.000941680663366524,0
14,10,0.000920308705151795,0
14,12,0.00152047926861896,0
14,14,0.00254840009807155,0
14,16,0.00318841117863842,0
14,18,0.00286248270885033,0
14,20,0.00184823731702011,0
14,22,0.00103169558041773,0
14,24,0.001284098745541,0
14,26,0.00404595876594314,0
14,28,0.0129138906069212,0.001
14,30,0.0328427912227265,0.001
14,32,0.0631497963176163,0.002
14,34,0.0893989035464755,0.003
14,36,0.091650180768427,0.003
14,38,0.0676994954062701,0.002
