Count,WeightedCount,Goals,WeightedGoals,GoalProbability,y,x,event,WeightedProbabiliticGoals
20,0.606061056372238,1,0.0054057843987652,0.00891953763061952,46,86,Shot,0.0054057843987652
18,0.472372992062231,1,0.0262448443810817,0.0555595786001757,48,86,Shot,0.0262448443810817
18,0.446098415922818,1,0.046874300673667,0.105076142394949,50,86,Shot,0.046874300673667
18,0.461780331582628,1,0.0307986101886876,0.0666953702491693,52,86,Shot,0.0307986101886876
17,0.337293743773575,1,0.00744445578355366,0.0220711350891557,54,86,Shot,0.00744445578355366
13,0.185764156700316,1,0.000661973049378474,0.00356351333398725,56,86,Shot,0.000661973049378474
9,0.101756793718098,0,0,0,58,86,Shot,0
8,0.0450126850807562,0,0,0,60,86,Shot,0
5,0.0143806503246262,0,0,0,62,86,Shot,0
3,0.00275736710341906,0,0,0,64,86,Shot,0
1,0.000223905669352986,0,0,0,66,86,Shot,0
1,0.00182698956387996,0,0,0,16,88,Shot,0
3,0.0249367354758734,0,0,0,18,88,Shot,0
5,0.125775323962954,0,0,0,20,88,Shot,0
11,0.257009160561596,0,0,0,22,88,Shot,0
16,0.264525100737267,0,0,0,24,88,Shot,0
20,0.309880879270132,0,0,0,26,88,Shot,0
25,0.572938842729803,0,0,0,28,88,Shot,0
34,0.844197133086291,0,0,0,30,88,Shot,0
35,0.941235886658856,0,0,0,32,88,Shot,0
32,0.994434556795376,0,0,0,34,88,Shot,0
38,1.20654118423741,0,0,0,36,88,Shot,0
33,1.09189009983473,0,0,0,38,88,Shot,0
32,0.717955976040907,0,0,0,40,88,Shot,0
29,0.685617531318138,0,0,0,42,88,Shot,0
32,0.707169637321692,1,0.00135997941719436,0.00192313038544061,44,88,Shot,0.00135997941719436
27,0.626633789193858,1,0.0179478362630056,0.0286416669073892,46,88,Shot,0.0179478362630056
25,0.597116311255605,1,0.0871359519642168,0.145927937860195,48,88,Shot,0.0871359519642168
25,0.672329322769458,1,0.155628158908083,0.231476084171102,50,88,Shot,0.155628158908083
24,0.723367917319375,2,0.102354096339103,0.141496593764349,52,88,Shot,0.102354096339103
