Count,WeightedCount,Goals,WeightedGoals,GoalProbability,WeightedProbabiliticGoals,y,x,event
7,0.0509050297317236,0,0,0,0,20,88,Shot
11,0.210275311237728,0,0,0,0,22,88,Shot
18,0.406999885646137,0,0,0,0,24,88,Shot
25,0.508829170239756,0,0,0,0,26,88,Shot
28,0.645939521159795,0,0,0,0,28,88,Shot
37,0.928030814917416,2,0.000166233382971798,0.000179124852644673,0.000166233382971798,30,88,Shot
45,1.17019983240983,3,0.0010342836812727,0.000883852187145477,0.0010342836812727,32,88,Shot
49,1.20567789468962,2,0.00301952319652688,0.0025044194720881,0.00301952319652688,34,88,Shot
51,1.25314213737358,4,0.00443227215012617,0.00353692691191092,0.00443227215012617,36,88,Shot
53,1.50886471903692,4,0.0154941880960389,0.01026877221036,0.0154941880960389,38,88,Shot
46,1.85231244257366,3,0.0836127795461188,0.0451396738608227,0.0836127795461188,40,88,Shot
43,1.78303725998112,2,0.187023060403263,0.104890158271422,0.187023060403263,42,88,Shot
44,1.35588876604078,2,0.155534097206905,0.114710071432384,0.155534097206905,44,88,Shot
42,1.04923853085768,1,0.0476779756674874,0.0454405497561303,0.0476779756674874,46,88,Shot
40,0.969576331272488,1,0.00538959134729091,0.00555870762667805,0.00538959134729091,48,88,Shot
36,0.924073835808698,1,0.000224129687012499,0.000242545214816469,0.000224129687012499,50,88,Shot
29,0.852456080510532,1,0.000290622404107834,0.00034092360973457,0.000290622404107834,52,88,Shot
26,0.782989555624404,1,0.00267585663165896,0.00341748700533441,0.00267585663165896,54,88,Shot
23,0.522179911802605,1,0.00906362875968453,0.0173572911458738,0.00906362875968453,56,88,Shot
17,0.193382805563221,1,0.0112939768921254,0.058402177273373,0.0112939768921254,58,88,Shot
10,0.0372206225740893,1,0.00517722689889258,0.139095655602941,0.00517722689889258,60,88,Shot
5,0.00950069497197957,1,0.00087307795221838,0.0918962196758608,0.00087307795221838,62,88,Shot
1,0.0073145796244823,0,0,0,0,64,88,Shot
1,0.00297388614907129,0,0,0,0,66,88,Shot
1,0.000444800045041913,0,0,0,0,68,88,Shot
3,0.000460294570977451,0,0,0,0,16,90,Shot
8,0.00523179374983831,0,0,0,0,18,90,Shot
10,0.046277115513748,0,0,0,0,20,90,Shot
18,0.236260465834732,0,0,0,0,22,90,Shot
25,0.590754439310455,0,0,0,0,24,90,Shot
30,0.890102796406585,1,0.000110655840006903,0.000124318045571398,0.000110655840006903,26,90,Shot
39,1.20276726327332,1,0.00083415967777934,0.000693533739444472,0.00083415967777934,28,90,Shot
45,1.4386101052329,3,0.00371299269543057,0.0025809583026872,0.00371299269543057,30,90,Shot
51,1.44294780841639,3,0.0139405635430839,0.00966116962912435,0.0139405635430839,32,90,Shot
57,1.33548137985119,4,0.0366223014277458,0.0274225473902352,0.0366223014277458,34,90,Shot
64,1.28749359538889,5,0.0428796363275783,0.0333047375778413,0.0428796363275783,36,90,Shot
60,1.56029793459558,4,0.033545770187541,0.0214995927660673,0.033545770187541,38,90,Shot
58,1.89820979465446,4,0.0644876098507337,0.0339728569688857,0.0644876098507337,40,90,Shot
54,1.85935215631475,3,0.109360303415677,0.0588163479652127,0.109360303415677,42,90,Shot
52,1.58096871892205,2,0.0820613246145433,0.0519057231382131,0.0820613246145433,44,90,Shot
54,1.44527002489284,3,0.0243549477832157,0.016851486133203,0.0243549477832157,46,90,Shot
