x,y,WeightedProbabiliticGoals,GoalProbability
2,38,0.124622055270382,0.005
2,40,0.134063321407704,0.005
2,42,0.156068022341244,0.006
2,44,0.168185743096941,0.009
2,46,0.147824739092146,0.01
2,48,0.104995947481329,0.011
2,50,0.0659870107924097,0.011
2,52,0.0434962147804573,0.012
2,54,0.0362655803698279,0.014
2,56,0.0379734514712273,0.02
2,58,0.0382141649079086,0.024
2,60,0.0304946093197112,0.022
2,62,0.0184233105858075,0.014
2,64,0.00894794265753258,0.006
2,66,0.00426973262064122,0.002
2,68,0.00284026041856187,0.001
2,70,0.00288821972876607,0.001
2,72,0.0029644870158285,0.001
2,74,0.00234149906615973,0.001
2,76,0.00133208177153294,0.001
2,78,0.000532864245256658,0
2,80,0.00014860831169881,0
4,0,0.000073904967954717,0
4,2,0.000184648220268983,0
4,4,0.000715718269577228,0
4,6,0.00271978315033734,0.001
4,8,0.00794172741701784,0.002
4,10,0.0170231343537077,0.004
4,12,0.0268118380860986,0.008
4,14,0.0308985592740998,0.01
4,16,0.0258487641347776,0.008
4,18,0.0157131029839948,0.004
4,20,0.00772181588121619,0.001
4,22,0.00714224247709832,0.001
4,24,0.0180666717171481,0.003
4,26,0.0439661662137079,0.006
4,28,0.0813895324272781,0.01
4,30,0.119195561944874,0.01
4,32,0.149055521294072,0.008
4,34,0.168545180271407,0.006
4,36,0.175237873084862,0.005
4,38,0.175631523572881,0.004
4,40,0.190807019664276,0.005
4,42,0.226923376218823,0.006
4,44,0.251207736138387,0.008
4,46,0.230016468730089,0.01
4,48,0.174768752728661,0.012
4,50,0.12032424293208,0.013
4,52,0.0839076051763046,0.014
4,54,0.0666567833026981,0.015
4,56,0.0633451480154257,0.019
4,58,0.0604902842777045,0.021
4,60,0.0477417478536143,0.019
4,62,0.0296263329432103,0.013
4,64,0.0157234933191948,0.006
4,66,0.00921297884708357,0.003
4,68,0.00822892436429584,0.002
4,70,0.00977564002178825,0.003
4,72,0.0104295237309928,0.003
4,74,0.00832809253322089,0.002
4,76,0.00472485949718413,0.001
4,78,0.00186977999989199,0.001
4,80,0.000521455232745657,0
6,0,0.000581723475915918,0
6,2,0.0007466532805942,0
6,4,0.00181946908329845,0
6,6,0.00603406673171055,0.001
6,8,0.0163253228626702,0.003
