x,y,WeightedProbabiliticGoals,GoalProbability
2,40,0.0789493237857466,0.003
2,42,0.0474498433597658,0.002
2,44,0.025492899494179,0.001
2,46,0.0129122789521544,0.001
2,48,0.00590749630245483,0.001
2,50,0.0022263505398087,0
2,52,0.000738068182599345,0
2,54,0.000411134060126616,0
2,56,0.000470059572258903,0
2,58,0.000718483469649785,0
2,60,0.00132843755935056,0.001
2,62,0.00237813890265447,0.001
2,64,0.00354137434348247,0.002
2,66,0.00437504382546918,0.002
2,68,0.00517776448117508,0.002
2,70,0.00643199082006117,0.003
2,72,0.00761108350126286,0.004
2,74,0.00741809544952947,0.004
2,76,0.00548573220745191,0.004
2,78,0.00296014702005404,0.002
2,80,0.00114429014525381,0.001
4,0,0.000184319148411448,0
4,2,0.000399629584541575,0
4,4,0.000782962642395901,0
4,6,0.00155322066548546,0
4,8,0.00320436896425906,0.001
4,10,0.0060341817774452,0.002
4,12,0.00902440719482295,0.003
4,14,0.010161562154206,0.003
4,16,0.00869627967723459,0.003
4,18,0.00614256741996771,0.002
4,20,0.00473068966732492,0.001
4,22,0.00586584770077547,0.001
4,24,0.0108687756315057,0.002
4,26,0.0213064813036486,0.003
4,28,0.0383021972673993,0.005
4,30,0.0636563610811578,0.006
4,32,0.102168385538085,0.007
4,34,0.152590814116607,0.006
4,36,0.193443534241266,0.005
4,38,0.196254687059296,0.004
4,40,0.158161786672438,0.003
4,42,0.103963174914367,0.003
4,44,0.0580455115090093,0.002
4,46,0.02835927644,0.002
4,48,0.0120750898910825,0.001
4,50,0.00446665006478537,0.001
4,52,0.00197861715776777,0
4,54,0.00186455239182606,0
4,56,0.00247187793560917,0
4,58,0.0031930740664905,0.001
4,60,0.00460206657652134,0.001
4,62,0.00716657671594921,0.002
4,64,0.0100842227859715,0.003
4,66,0.0122400340779348,0.003
4,68,0.0141571913468781,0.004
4,70,0.0168813986220281,0.005
4,72,0.0191015571356856,0.006
4,74,0.0179650097767591,0.007
4,76,0.0129675477076963,0.005
4,78,0.00688900309574995,0.003
4,80,0.00263835571653782,0.002
6,0,0.000953869821154285,0
6,2,0.00195367895820039,0.001
6,4,0.00343265015444492,0.001
6,6,0.00584571940572844,0.001
6,8,0.010237311222651,0.002
6,10,0.0174197495733114,0.003
6,12,0.0251466131483103,0.005
6,14,0.0283809908177483,0.006
6,16,0.0250058026850988,0.005
6,18,0.0188945588902661,0.004
6,20,0.0155805836825816,0.002
6,22,0.0184916182592464,0.002
6,24,0.0294170420819832,0.003
6,26,0.0486983945323255,0.005
6,28,0.0742789556558118,0.007
6,30,0.104027622545928,0.008
6,32,0.144877271593704,0.007
6,34,0.206539872632045,0.007
6,36,0.27354684124943,0.006
6,38,0.303450256952919,0.006
6,40,0.269863138762348,0.005
6,42,0.191201106420188,0.004
6,44,0.109143235535946,0.003
6,46,0.0512998069311234,0.002
6,48,0.0204455958882396,0.002
6,50,0.00778371780406072,0.001
6,52,0.00526346223218168,0.001
6,54,0.00719394951352818,0.001
6,56,0.00988243320975729,0.001
6,58,0.01147183691491,0.002
6,60,0.0129643050619852,0.002
6,62,0.0163011470357828,0.003
6,64,0.0208430203710359,0.004
6,66,0.0244308384901017,0.004
6,68,0.0274752245201143,0.005
6,70,0.0314639961406718,0.006
6,72,0.0339963872552687,0.008
6,74,0.0307612587827842,0.008
6,76,0.0215727433872248,0.006
6,78,0.011255656085256,0.004
6,80,0.00425873576372423,0.002
8,0,0.00359799378315295,0.001
8,2,0.00697855050945812,0.002
8,4,0.0114352472465113,0.002
8,6,0.0169888928787791,0.003
8,8,0.0252429535993754,0.004
8,10,0.0381230818039046,0.005
8,12,0.0523947449566129,0.007
8,14,0.0590900388649639,0.008
8,16,0.0540393625755344,0.008
8,18,0.0439866012440957,0.006
8,20,0.038723819181667,0.004
8,22,0.0442823379186919,0.004
8,24,0.0624553073204911,0.006
8,26,0.090639490366904,0.008
8,28,0.121474338703085,0.009
8,30,0.148490866597412,0.009
8,32,0.182773507792358,0.008
8,34,0.250452326406183,0.008
8,36,0.34837656392737,0.008
8,38,0.41839952561872,0.008
8,40,0.399595165113142,0.007
8,42,0.296640195244297,0.006
8,44,0.172020530813659,0.005
8,46,0.0798969047779398,0.003
8,48,0.031467733824937,0.002
8,50,0.0136404506050583,0.001
8,52,0.0131802610903573,0.001
8,54,0.0211657665805569,0.002
8,56,0.029568556538498,0.003
8,58,0.03246790423395,0.003
