x,y,WeightedProbabiliticGoals,GoalProbability
8,56,0.000499378145196701,0.002
8,58,0.000510304129151777,0.001
8,60,0.000363554444063121,0.001
8,62,0.000183666731639714,0.001
8,64,0.0000837684132528895,0
8,66,0.000101641073302463,0
8,68,0.000339086802865769,0.001
8,70,0.000788666433977406,0.002
8,72,0.00127884129666769,0.002
8,74,0.00144570862411297,0.003
8,76,0.00113942492675919,0.002
8,78,0.000626082385522109,0.002
8,80,0.000239838047162705,0.001
10,0,0,0
10,2,0,0
10,4,0,0
10,6,0,0
10,8,0,0
10,10,0,0
10,12,0,0
10,14,0,0
10,16,0,0
10,18,0,0
10,20,0,0
10,22,0,0
10,24,0.0000860402237648777,0
10,26,0.000351295279773434,0.001
10,28,0.00104404332596541,0.002
10,30,0.00221016908086851,0.005
10,32,0.00354055925399219,0.01
10,34,0.00460270369063939,0.015
10,36,0.00513331075841614,0.02
10,38,0.00484605345860371,0.02
10,40,0.00361994919404497,0.012
10,42,0.00200829350681823,0.004
10,44,0.000789802292171597,0.001
10,46,0.000223465908114832,0
10,48,0.000111285799152774,0
10,50,0.000290697146804958,0
10,52,0.000876633060568059,0.001
10,54,0.00184304418077155,0.003
10,56,0.00270143468562574,0.005
10,58,0.00276053985935977,0.005
10,60,0.00196668315334194,0.003
10,62,0.000979209160210452,0.002
10,64,0.000354632117920617,0.001
10,66,0.000160050847946901,0.001
10,68,0.000261526849089526,0.001
10,70,0.000608273296741758,0.002
10,72,0.000986329553307507,0.002
10,74,0.00111502900723473,0.002
10,76,0.000878802148449753,0.002
10,78,0.00048287739945122,0.001
10,80,0.000184979445487524,0.001
12,0,0,0
12,2,0,0
12,4,0,0
12,6,0,0
12,8,0,0
12,10,0,0
12,12,0,0
12,14,0,0
12,16,0,0
12,18,0,0
12,20,0,0
12,22,0.0000542222814514253,0
12,24,0.000317546803454279,0
12,26,0.00131377357648447,0.002
12,28,0.00382111058660613,0.006
12,30,0.00797674948339107,0.014
12,32,0.0124195236004913,0.025
12,34,0.0153749153752678,0.035
12,36,0.0161573745304338,0.039
12,38,0.0145317684260153,0.036
12,40,0.0105522468857007,0.023
12,42,0.00577997591175445,0.01
12,44,0.00228749761589426,0.003
12,46,0.000676948466610312,0.001
12,48,0.00037893532164632,0
12,50,0.00111359885902857,0.001
12,52,0.00330615804096159,0.004
12,54,0.006950907525843,0.008
12,56,0.0101882650903293,0.011
12,58,0.0104111759685439,0.012
12,60,0.00741720294832564,0.009
12,62,0.0036852981617384,0.005
12,64,0.001284493685856,0.003
12,66,0.000350120716167881,0.001
12,68,0.000192458414165554,0.001
12,70,0.00032707320754034,0.001
12,72,0.000530356950436833,0.001
12,74,0.000599559631912655,0.001
12,76,0.000472538641802045,0.001
12,78,0.000259646873754348,0.001
12,80,0.0000994648637195133,0.001
14,0,0,0
14,2,0,0
14,4,0,0
14,6,0,0
14,8,0,0
14,10,0,0
14,12,0,0
14,14,0,0
14,16,0,0
14,18,0,0
14,20,0,0
14,22,0.000139516260087476,0
14,24,0.000817061570165809,0.001
14,26,0.00337579482374735,0.005
14,28,0.00977112723227805,0.013
14,30,0.0201932040420519,0.029
14,32,0.0307315303015071,0.05
14,34,0.0364578077778139,0.062
14,36,0.036158990584174,0.061
14,38,0.0308333824590093,0.05
14,40,0.021637237924821,0.033
14,42,0.0116397958905212,0.015
14,44,0.00457004720006727,0.005
14,46,0.00137245094313552,0.001
14,48,0.000915439131385578,0.001
14,50,0.00291690194571171,0.002
14,52,0.00869301040297973,0.007
14,54,0.018276292507399,0.013
14,56,0.0267884031317475,0.019
14,58,0.0273745114058376,0.02
14,60,0.0195023412649849,0.017
14,62,0.00968652384520455,0.012
14,64,0.00335751012357364,0.006
14,66,0.000825555335343549,0.002
14,68,0.000189004510580528,0.001
14,70,0.000122611728119801,0
14,72,0.000198817820335796,0
14,74,0.000224760209289279,0.001
14,76,0.000177143153700801,0.001
14,78,0.0000973352483724855,0
14,80,0.0000372869392744311,0
16,0,0,0
16,2,0,0
16,4,0,0
16,6,0,0
16,8,0,0
16,10,0,0
16,12,0,0
16,14,0,0
16,16,0,0
16,18,0,0
16,20,0.0000297936393370953,0
16,22,0.000250272245204671,0
16,24,0.00146863569987658,0.002
16,26,0.00605159592981697,0.007
16,28,0.0174727808934521,0.019
16,30,0.0358601395858055,0.042
16,32,0.0536685253656785,0.068
16,34,0.0615020935422298,0.079
16,36,0.0578165878250428,0.071
16,38,0.0466141058529172,0.054
16,40,0.031417450819304,0.036
